# Time-averaged data for fix RDFALL5
# TimeStep Number-of-rows
# Row c_5[1] c_5[2] c_5[3] c_5[4] c_5[5] c_5[6] c_5[7] c_5[8] c_5[9] c_5[10] c_5[11] c_5[12] c_5[13] c_5[14] c_5[15] c_5[16]
0 1000
76 0.755 0 0 -0.00801075 0 0 -0.00801075 0 0 -0.00801075 0 0 -0.00801075 0 0 -0.00801075
77 0.765 0 0 -0.00833115 0 0 -0.00833115 0 0 -0.00833115 0 0 -0.00833115 0 0 -0.00833115
78 0.775 0 0 -0.00865998 0 0 -0.00865998 0 0 -0.00865998 0 0 -0.00865998 0 0 -0.00865998
79 0.785 0 0 -0.00899736 0 0 -0.00899736 0 0 -0.00899736 0 0 -0.00899736 0 0 -0.00899736
80 0.795 0 0 -0.00934338 0 0 -0.00934338 0 0 -0.00934338 0 0 -0.00934338 0 0 -0.00934338
81 0.805 0 0 -0.00969817 0 0 -0.00969817 0 0 -0.00969817 0 0 -0.00969817 0 0 -0.00969817
82 0.815 0 0 -0.0100618 0 0 -0.0100618 0 0 -0.0100618 0 0 -0.0100618 0 0 -0.0100618
83 0.825 0 0 -0.0104345 0 0 -0.0104345 0 0 -0.0104345 0 0 -0.0104345 0 0 -0.0104345
84 0.835 0 0 -0.0108162 0 0 -0.0108162 0 0 -0.0108162 0 0 -0.0108162 0 0 -0.0108162
85 0.845 0 0 -0.0112071 0 0 -0.0112071 0 0 -0.0112071 0 0 -0.0112071 0 0 -0.0112071
86 0.855 0 0 -0.0116073 0 0 -0.0116073 0 0 -0.0116073 0 0 -0.0116073 0 0 -0.0116073
87 0.865 0 0 -0.012017 0 0 -0.012017 0 0 -0.012017 0 0 -0.012017 0 0 -0.012017
88 0.875 0 0 -0.0124361 0 0 -0.0124361 0 0 -0.0124361 0 0 -0.0124361 0 0 -0.0124361
89 0.885 0 0 -0.0128649 0 0 -0.0128649 0 0 -0.0128649 0 0 -0.0128649 0 0 -0.0128649
90 0.895 0 0 -0.0133035 0 0 -0.0133035 0 0 -0.0133035 0 0 -0.0133035 0 0 -0.0133035
91 0.905 0 0 -0.0137519 0 0 -0.0137519 0 0 -0.0137519 0 0 -0.0137519 0 0 -0.0137519
92 0.915 0 0 -0.0142103 0 0 -0.0142103 0 0 -0.0142103 0 0 -0.0142103 0 0 -0.0142103
93 0.925 0 0 -0.0146787 0 0 -0.0146787 0 0 -0.0146787 0 0 -0.0146787 0 0 -0.0146787
94 0.935 0 0 -0.0151573 0 0 -0.0151573 0 0 -0.0151573 0 0 -0.0151573 0 0 -0.0151573
95 0.945 0 0 -0.0156462 0 0 -0.0156462 0 0 -0.0156462 0 0 -0.0156462 0 0 -0.0156462
96 0.955 0 0 -0.0161456 0 0 -0.0161456 0 0 -0.0161456 0 0 -0.0161456 0 0 -0.0161456
97 0.965 0 0 -0.0166554 0 0 -0.0166554 0 0 -0.0166554 0 0 -0.0166554 0 0 -0.0166554
98 0.975 0 0 -0.0171758 0 0 -0.0171758 0 0 -0.0171758 0 0 -0.0171758 0 0 -0.0171758
99 0.985 0 0 -0.017707 0 0 -0.017707 0 0 -0.017707 0 0 -0.017707 0 0 -0.017707
100 0.995 0 0 -0.0182491 0 0 -0.0182491 0 0 -0.0182491 0 0 -0.0182491 0 0 -0.0182491
101 1.005 0 0 -0.018802 0 0 -0.018802 0 0 -0.018802 0 0 -0.018802 0 0 -0.018802
102 1.015 0 0 -0.0193661 0 0 -0.0193661 0 0 -0.0193661 0 0 -0.0193661 0 0 -0.0193661
103 1.025 0 0 -0.0199413 0 0 -0.0199413 0 0 -0.0199413 0 0 -0.0199413 0 0 -0.0199413
104 1.035 0 0 -0.0205277 0 0 -0.0205277 0 0 -0.0205277 0 0 -0.0205277 0 0 -0.0205277
105 1.045 0 0 -0.0211256 0 0 -0.0211256 0 0 -0.0211256 0 0 -0.0211256 0 0 -0.0211256
106 1.055 0 0 -0.021735 0 0 -0.021735 0 0 -0.021735 0 0 -0.021735 0 0 -0.021735
107 1.065 0 0 -0.022356 0 0 -0.022356 0 0 -0.022356 0 0 -0.022356 0 0 -0.022356
108 1.075 0 0 -0.0229886 0 0 -0.0229886 0 0 -0.0229886 0 0 -0.0229886 0 0 -0.0229886
109 1.085 0 0 -0.0236332 0 0 -0.0236332 0 0 -0.0236332 0 0 -0.0236332 0 0 -0.0236332
110 1.095 0 0 -0.0242896 0 0 -0.0242896 0 0 -0.0242896 0 0 -0.0242896 0 0 -0.0242896
111 1.105 0 0 -0.0249581 0 0 -0.0249581 0 0 -0.0249581 0 0 -0.0249581 0 0 -0.0249581
112 1.115 0 0 -0.0256387 0 0 -0.0256387 0 0 -0.0256387 0 0 -0.0256387 0 0 -0.0256387
113 1.125 0 0 -0.0263317 0 0 -0.0263317 0 0 -0.0263317 0 0 -0.0263317 0 0 -0.0263317
114 1.135 0 0 -0.0270369 0 0 -0.0270369 0 0 -0.0270369 0 0 -0.0270369 0 0 -0.0270369
115 1.145 0 0 -0.0277547 0 0 -0.0277547 0 0 -0.0277547 0 0 -0.0277547 0 0 -0.0277547
116 1.155 0 0 -0.0284851 0 0 -0.0284851 0 0 -0.0284851 0 0 -0.0284851 0 0 -0.0284851
117 1.165 0 0 -0.0292281 0 0 -0.0292281 0 0 -0.0292281 0 0 -0.0292281 0 0 -0.0292281
118 1.175 0 0 -0.029984 0 0 -0.029984 0 0 -0.029984 0 0 -0.029984 0 0 -0.029984
119 1.185 0 0 -0.0307528 0 0 -0.0307528 0 0 -0.0307528 0 0 -0.0307528 0 0 -0.0307528
120 1.195 0 0 -0.0315346 0 0 -0.0315346 0 0 -0.0315346 0 0 -0.0315346 0 0 -0.0315346
121 1.205 0 0 -0.0323296 0 0 -0.0323296 0 0 -0.0323296 0 0 -0.0323296 0 0 -0.0323296
122 1.215 0 0 -0.0331378 0 0 -0.0331378 0 0 -0.0331378 0 0 -0.0331378 0 0 -0.0331378
123 1.225 0 0 -0.0339594 0 0 -0.0339594 0 0 -0.0339594 0 0 -0.0339594 0 0 -0.0339594
124 1.235 0 0 -0.0347944 0 0 -0.0347944 0 0 -0.0347944 0 0 -0.0347944 0 0 -0.0347944
125 1.245 0 0 -0.035643 0 0 -0.035643 0 0 -0.035643 0 0 -0.035643 0 0 -0.035643
126 1.255 0 0 -0.0365053 0 0 -0.0365053 0 0 -0.0365053 0 0 -0.0365053 0 0 -0.0365053
127 1.265 0 0 -0.0373814 0 0 -0.0373814 0 0 -0.0373814 0 0 -0.0373814 0 0 -0.0373814
128 1.275 0 0 -0.0382714 0 0 -0.0382714 0 0 -0.0382714 0 0 -0.0382714 0 0 -0.0382714
129 1.285 0 0 -0.0391754 0 0 -0.0391754 0 0 -0.0391754 0 0 -0.0391754 0 0 -0.0391754
130 1.295 0 0 -0.0400936 0 0 -0.0400936 0 0 -0.0400936 0 0 -0.0400936 0 0 -0.0400936
131 1.305 0 0 -0.041026 0 0 -0.041026 0 0 -0.041026 0 0 -0.041026 0 0 -0.041026
132 1.315 0 0 -0.0419727 0 0 -0.0419727 0 0 -0.0419727 0 0 -0.0419727 0 0 -0.0419727
133 1.325 0 0 -0.0429339 0 0 -0.0429339 0 0 -0.0429339 0 0 -0.0429339 0 0 -0.0429339
134 1.335 0 0 -0.0439096 0 0 -0.0439096 0 0 -0.0439096 0 0 -0.0439096 0 0 -0.0439096
135 1.345 0 0 -0.0449 0 0 -0.0449 0 0 -0.0449 0 0 -0.0449 0 0 -0.0449
136 1.355 0 0 -0.0459052 0 0 -0.0459052 0 0 -0.0459052 0 0 -0.0459052 0 0 -0.0459052
137 1.365 0 0 -0.0469253 0 0 -0.0469253 0 0 -0.0469253 0 0 -0.0469253 0 0 -0.0469253
138 1.375 0 0 -0.0479604 0 0 -0.0479604 0 0 -0.0479604 0 0 -0.0479604 0 0 -0.0479604
139 1.385 0 0 -0.0490106 0 0 -0.0490106 0 0 -0.0490106 0 0 -0.0490106 0 0 -0.0490106
140 1.395 0 0 -0.050076 0 0 -0.050076 0 0 -0.050076 0 0 -0.050076 0 0 -0.050076
141 1.405 0 0 -0.0511568 0 0 -0.0511568 0 0 -0.0511568 0 0 -0.0511568 0 0 -0.0511568
142 1.415 0 0 -0.052253 0 0 -0.052253 0 0 -0.052253 0 0 -0.052253 0 0 -0.052253
143 1.425 0 0 -0.0533647 0 0 -0.0533647 0 0 -0.0533647 0 0 -0.0533647 0 0 -0.0533647
144 1.435 0 0 -0.0544921 0 0 -0.0544921 0 0 -0.0544921 0 0 -0.0544921 0 0 -0.0544921
145 1.445 0 0 -0.0556353 0 0 -0.0556353 0 0 -0.0556353 0 0 -0.0556353 0 0 -0.0556353
146 1.455 0 0 -0.0567943 0 0 -0.0567943 0 0 -0.0567943 0 0 -0.0567943 0 0 -0.0567943
147 1.465 0 0 -0.0579693 0 0 -0.0579693 0 0 -0.0579693 0 0 -0.0579693 0 0 -0.0579693
148 1.475 0 0 -0.0591605 0 0 -0.0591605 0 0 -0.0591605 0 0 -0.0591605 0 0 -0.0591605
149 1.485 0 0 -0.0603678 0 0 -0.0603678 0 0 -0.0603678 0 0 -0.0603678 0 0 -0.0603678
150 1.495 0 0 -0.0615914 0 0 -0.0615914 0 0 -0.0615914 0 0 -0.0615914 0 0 -0.0615914
151 1.505 0 0 -0.0628315 0 0 -0.0628315 0 0 -0.0628315 0 0 -0.0628315 0 0 -0.0628315
152 1.515 0 0 -0.0640881 0 0 -0.0640881 0 0 -0.0640881 0 0 -0.0640881 0 0 -0.0640881
153 1.525 0 0 -0.0653614 0 0 -0.0653614 0 0 -0.0653614 0 0 -0.0653614 0 0 -0.0653614
